Image,Name,Price,Exchange offer,Offers,Description,Date & Time
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/x/z/5/galaxy-m14-5g-sm-m146b-samsung-original-imagzvnkwn2c72fu.jpeg?q=70&crop=false,"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)  (6 GB RAM)","₹12,202","E, 
x, 
c, 
h, 
a, 
n, 
g, 
e, 
 , 
O, 
f, 
f, 
e, 
r, 
 , 
n, 
o, 
t, 
 , 
a, 
v, 
a, 
i, 
l, 
a, 
b, 
l, 
e","Bank Offer5% Cashback on Flipkart Axis Bank CardT&C, 
Bank Offer10% off on Citi-branded Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&C, 
Bank OfferFlat ₹1,250 off on HDFC Bank Credit Card EMI Txns on 6 and 9 months tenure, Min. Txn Value: ₹15,000T&C, 
Buy for 2000 get ₹500 off your Next BuyT&C, 
Partner OfferSign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*Know More, 
Bank OfferFlat ₹1,500 off on HDFC Bank Credit Card EMI Txns on 12 months tenure, Min. Txn Value: ₹15,000T&C, 
Bank OfferFlat ₹1750 on HDFC Bank Credit Card EMI Txns on 24 months tenure, Min. Txn Value:₹15,000T&C, 
Bank Offer10% off on HSBC Bank Credit Card and EMI Transactions, up to ₹1,000 on orders of ₹5,000 and aboveT&C, 
Bank OfferFlat ₹2,500 off on HDFC Bank Credit Card EMI Txns on 6 and 9 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹3,500 off on HDFC Bank Credit Card EMI Txns on 12 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹5,000 off on HDFC Bank Credit Card EMI Txns on 24 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹500 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure, Min. Txn Value: ₹7,500T&C, 
Bank OfferFlat ₹500 off on OneCard Credit Card Transactions on orders of ₹10,000 and aboveT&C, 
Bank OfferFlat ₹750 off on OneCard Credit Card EMI Transactions on orders of ₹10,000 and aboveT&C, 
Bank OfferExtra ₹750 off on Citi-branded Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹1,000 off on Citi-branded Credit Card EMI Transactions on products priced ₹49,990 and aboveT&C, 
Bank OfferExtra ₹750 off on HSBC Bank Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹1000 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure,Min Txn Value: ₹25,000T&C, 
Bank OfferExtra ₹2000 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure,Min Txn Value: ₹50,000T&C, 
Bank OfferExtra ₹500 off on OneCard Credit Card Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹500 off on OneCard Credit Card Transactions on products priced ₹49,990 and aboveT&C, 
Bank OfferExtra ₹750 off on OneCard Credit Card EMI Transactions on products priced ₹30,000 and aboveT&C, 
Bank OfferExtra ₹750 off on OneCard Credit Card EMI Transactions on products priced ₹50,000 and aboveT&C, 
Partner OfferMake a purchase and enjoy a surprise cashback/ coupon that you can redeem later!Know More, 
EMI starting from ₹429/monthView Plans","6 GB RAM | 128 GB ROM, 
16.76 cm (6.6 inch) Display, 
50MP Rear Camera, 
6000 mAh Battery",14/04/2024 17:44:51
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/l/v/4/galaxy-f15-5g-sm-e156b-samsung-original-imagyhkbkdy56zej.jpeg?q=70&crop=false,"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)  (6 GB RAM)","₹14,499","Buy without Exchange
₹14,499, 
Buy with Exchange
up to ₹13,550 off","Bank Offer5% Cashback on Flipkart Axis Bank CardT&C, 
Bank Offer10% off on Citi-branded Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&C, 
Bank OfferExtra ₹750 off on Citi-branded Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Special PriceGet extra ₹2500 off (price inclusive of cashback/coupon)T&C, 
Buy for 2000 get ₹500 off your Next BuyT&C, 
Partner OfferSign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*Know More, 
Extra 10% Off On Combo Mobile & Casecover- Mar'24T&C, 
Extra ₹200/- Off on Samsung PowerbankT&C, 
Bank OfferExtra ₹1,000 off on Citi-branded Credit Card EMI Transactions on products priced ₹49,990 and aboveT&C, 
Bank Offer₹1000 Off On HDFC Bank Credit Non EMI, Credit and Debit Card EMI TransactionsT&C, 
Partner OfferMake a purchase and enjoy a surprise cashback/ coupon that you can redeem later!Know More, 
Get samsung charger worth ₹1699 @ just ₹299T&C, 
Get ₹500 off on combo offerT&C, 
EMI starting from ₹510/monthView Plans","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 
16.51 cm (6.5 inch) Full HD+ Display, 
50MP + 5MP + 2MP | 13MP Front Camera, 
6000 mAh Lithium ion Battery, 
MediaTek Dimensity 6100+ Processor",14/04/2024 17:44:56
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/k/8/n/-original-imagymhwtgmdr3v2.jpeg?q=70&crop=false,"SAMSUNG Galaxy F15 5G (Ash Black, 128 GB)  (6 GB RAM)","₹14,499","Buy without Exchange
₹14,499, 
Buy with Exchange
up to ₹13,550 off","Bank Offer5% Cashback on Flipkart Axis Bank CardT&C, 
Bank Offer10% off on Citi-branded Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&C, 
Bank OfferExtra ₹750 off on Citi-branded Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Special PriceGet extra ₹2500 off (price inclusive of cashback/coupon)T&C, 
Buy for 2000 get ₹500 off your Next BuyT&C, 
Partner OfferSign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*Know More, 
Extra 10% Off On Combo Mobile & Casecover- Mar'24T&C, 
Extra ₹200/- Off on Samsung PowerbankT&C, 
Bank OfferExtra ₹1,000 off on Citi-branded Credit Card EMI Transactions on products priced ₹49,990 and aboveT&C, 
Bank Offer₹1000 Off On HDFC Bank Credit Non EMI, Credit and Debit Card EMI TransactionsT&C, 
Partner OfferMake a purchase and enjoy a surprise cashback/ coupon that you can redeem later!Know More, 
Get samsung charger worth ₹1699 @ just ₹299T&C, 
Get ₹500 off on combo offerT&C, 
EMI starting from ₹510/monthView Plans","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 
16.51 cm (6.5 inch) Full HD+ Display, 
50MP + 5MP + 2MP | 13MP Front Camera, 
6000 mAh Lithium ion Battery, 
MediaTek Dimensity 6100+ Processor",14/04/2024 17:45:03
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/6/2/5/galaxy-m14-5g-sm-m146b-samsung-original-imagzwrqnpzujxks.jpeg?q=70&crop=false,"SAMSUNG Galaxy M14 5G (Icy Silver, 128 GB)  (6 GB RAM)","₹11,988","E, 
x, 
c, 
h, 
a, 
n, 
g, 
e, 
 , 
O, 
f, 
f, 
e, 
r, 
 , 
n, 
o, 
t, 
 , 
a, 
v, 
a, 
i, 
l, 
a, 
b, 
l, 
e","Bank Offer5% Cashback on Flipkart Axis Bank CardT&C, 
Bank Offer10% off on Citi-branded Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&C, 
Bank OfferFlat ₹1,250 off on HDFC Bank Credit Card EMI Txns on 6 and 9 months tenure, Min. Txn Value: ₹15,000T&C, 
Special PriceGet extra ₹460 off (price inclusive of cashback/coupon)T&C, 
Buy for 2000 get ₹500 off your Next BuyT&C, 
Partner OfferSign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*Know More, 
Bank OfferFlat ₹1,500 off on HDFC Bank Credit Card EMI Txns on 12 months tenure, Min. Txn Value: ₹15,000T&C, 
Bank OfferFlat ₹1750 on HDFC Bank Credit Card EMI Txns on 24 months tenure, Min. Txn Value:₹15,000T&C, 
Bank Offer10% off on HSBC Bank Credit Card and EMI Transactions, up to ₹1,000 on orders of ₹5,000 and aboveT&C, 
Bank OfferFlat ₹2,500 off on HDFC Bank Credit Card EMI Txns on 6 and 9 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹3,500 off on HDFC Bank Credit Card EMI Txns on 12 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹5,000 off on HDFC Bank Credit Card EMI Txns on 24 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹500 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure, Min. Txn Value: ₹7,500T&C, 
Bank OfferFlat ₹500 off on OneCard Credit Card Transactions on orders of ₹10,000 and aboveT&C, 
Bank OfferFlat ₹750 off on OneCard Credit Card EMI Transactions on orders of ₹10,000 and aboveT&C, 
Bank OfferExtra ₹750 off on Citi-branded Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹1,000 off on Citi-branded Credit Card EMI Transactions on products priced ₹49,990 and aboveT&C, 
Bank OfferExtra ₹750 off on HSBC Bank Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹1000 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure,Min Txn Value: ₹25,000T&C, 
Bank OfferExtra ₹2000 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure,Min Txn Value: ₹50,000T&C, 
Bank OfferExtra ₹500 off on OneCard Credit Card Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹500 off on OneCard Credit Card Transactions on products priced ₹49,990 and aboveT&C, 
Bank OfferExtra ₹750 off on OneCard Credit Card EMI Transactions on products priced ₹30,000 and aboveT&C, 
Bank OfferExtra ₹750 off on OneCard Credit Card EMI Transactions on products priced ₹50,000 and aboveT&C, 
Partner OfferMake a purchase and enjoy a surprise cashback/ coupon that you can redeem later!Know More, 
EMI starting from ₹422/monthView Plans","6 GB RAM | 128 GB ROM, 
16.76 cm (6.6 inch) Display, 
50MP Rear Camera, 
6000 mAh Battery",14/04/2024 17:45:08
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/i/e/f/-original-imagymhw8g7tdyhk.jpeg?q=70&crop=false,"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)  (4 GB RAM)","₹12,999","Buy without Exchange
₹12,999, 
Buy with Exchange
up to ₹12,200 off","Bank Offer5% Cashback on Flipkart Axis Bank CardT&C, 
Bank Offer10% off on Citi-branded Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&C, 
Bank OfferExtra ₹750 off on Citi-branded Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Special PriceGet extra ₹3000 off (price inclusive of cashback/coupon)T&C, 
Buy for 2000 get ₹500 off your Next BuyT&C, 
Partner OfferSign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*Know More, 
Extra 10% Off On Combo Mobile & Casecover- Mar'24T&C, 
Extra ₹200/- Off on Samsung PowerbankT&C, 
Bank OfferExtra ₹1,000 off on Citi-branded Credit Card EMI Transactions on products priced ₹49,990 and aboveT&C, 
Bank Offer₹1000 Off On HDFC Bank Credit Non EMI, Credit and Debit Card EMI TransactionsT&C, 
Partner OfferMake a purchase and enjoy a surprise cashback/ coupon that you can redeem later!Know More, 
Get samsung charger worth ₹1699 @ just ₹299T&C, 
Get ₹500 off on combo offerT&C, 
EMI starting from ₹458/monthView Plans","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 
16.51 cm (6.5 inch) Full HD+ Display, 
50MP + 5MP + 2MP | 13MP Front Camera, 
6000 mAh Lithium ion Battery, 
MediaTek Dimensity 6100+ Processor",14/04/2024 17:45:14
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/i/e/f/-original-imagymhw8g7tdyhk.jpeg?q=70&crop=false,"SAMSUNG Galaxy F15 5G (Jazzy Green, 128 GB)  (6 GB RAM)","₹14,499","Buy without Exchange
₹14,499, 
Buy with Exchange
up to ₹13,550 off","Bank Offer5% Cashback on Flipkart Axis Bank CardT&C, 
Bank Offer10% off on Citi-branded Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&C, 
Bank OfferExtra ₹750 off on Citi-branded Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Special PriceGet extra ₹2500 off (price inclusive of cashback/coupon)T&C, 
Buy for 2000 get ₹500 off your Next BuyT&C, 
Partner OfferSign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*Know More, 
Extra 10% Off On Combo Mobile & Casecover- Mar'24T&C, 
Extra ₹200/- Off on Samsung PowerbankT&C, 
Bank OfferExtra ₹1,000 off on Citi-branded Credit Card EMI Transactions on products priced ₹49,990 and aboveT&C, 
Bank Offer₹1000 Off On HDFC Bank Credit Non EMI, Credit and Debit Card EMI TransactionsT&C, 
Partner OfferMake a purchase and enjoy a surprise cashback/ coupon that you can redeem later!Know More, 
Get samsung charger worth ₹1699 @ just ₹299T&C, 
Get ₹500 off on combo offerT&C, 
EMI starting from ₹510/monthView Plans","6 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 
16.51 cm (6.5 inch) Full HD+ Display, 
50MP + 5MP + 2MP | 13MP Front Camera, 
6000 mAh Lithium ion Battery, 
MediaTek Dimensity 6100+ Processor",14/04/2024 17:45:19
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/l/v/4/galaxy-f15-5g-sm-e156b-samsung-original-imagyhkbkdy56zej.jpeg?q=70&crop=false,"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)  (4 GB RAM)","₹12,999","Buy without Exchange
₹12,999, 
Buy with Exchange
up to ₹12,200 off","Bank Offer5% Cashback on Flipkart Axis Bank CardT&C, 
Bank Offer10% off on Citi-branded Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&C, 
Bank OfferExtra ₹750 off on Citi-branded Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Special PriceGet extra ₹3000 off (price inclusive of cashback/coupon)T&C, 
Buy for 2000 get ₹500 off your Next BuyT&C, 
Partner OfferSign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*Know More, 
Extra 10% Off On Combo Mobile & Casecover- Mar'24T&C, 
Extra ₹200/- Off on Samsung PowerbankT&C, 
Bank OfferExtra ₹1,000 off on Citi-branded Credit Card EMI Transactions on products priced ₹49,990 and aboveT&C, 
Bank Offer₹1000 Off On HDFC Bank Credit Non EMI, Credit and Debit Card EMI TransactionsT&C, 
Partner OfferMake a purchase and enjoy a surprise cashback/ coupon that you can redeem later!Know More, 
Get samsung charger worth ₹1699 @ just ₹299T&C, 
Get ₹500 off on combo offerT&C, 
EMI starting from ₹458/monthView Plans","4 GB RAM | 128 GB ROM | Expandable Upto 1 TB, 
16.51 cm (6.5 inch) Full HD+ Display, 
50MP + 5MP + 2MP | 13MP Front Camera, 
6000 mAh Lithium ion Battery, 
MediaTek Dimensity 6100+ Processor",14/04/2024 17:45:24
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/x/x/n/galaxy-m14-5g-sm-m146b-samsung-original-imagzwssnfnzkpex.jpeg?q=70&crop=false,"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)  (6 GB RAM)","₹12,229","E, 
x, 
c, 
h, 
a, 
n, 
g, 
e, 
 , 
O, 
f, 
f, 
e, 
r, 
 , 
n, 
o, 
t, 
 , 
a, 
v, 
a, 
i, 
l, 
a, 
b, 
l, 
e","Bank Offer5% Cashback on Flipkart Axis Bank CardT&C, 
Bank Offer10% off on Citi-branded Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&C, 
Bank OfferFlat ₹1,250 off on HDFC Bank Credit Card EMI Txns on 6 and 9 months tenure, Min. Txn Value: ₹15,000T&C, 
Special PriceGet extra ₹4865 off (price inclusive of cashback/coupon)T&C, 
Buy for 2000 get ₹500 off your Next BuyT&C, 
Partner OfferSign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*Know More, 
Bank OfferFlat ₹1,500 off on HDFC Bank Credit Card EMI Txns on 12 months tenure, Min. Txn Value: ₹15,000T&C, 
Bank OfferFlat ₹1750 on HDFC Bank Credit Card EMI Txns on 24 months tenure, Min. Txn Value:₹15,000T&C, 
Bank Offer10% off on HSBC Bank Credit Card and EMI Transactions, up to ₹1,000 on orders of ₹5,000 and aboveT&C, 
Bank OfferFlat ₹2,500 off on HDFC Bank Credit Card EMI Txns on 6 and 9 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹3,500 off on HDFC Bank Credit Card EMI Txns on 12 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹5,000 off on HDFC Bank Credit Card EMI Txns on 24 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹500 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure, Min. Txn Value: ₹7,500T&C, 
Bank OfferFlat ₹500 off on OneCard Credit Card Transactions on orders of ₹10,000 and aboveT&C, 
Bank OfferFlat ₹750 off on OneCard Credit Card EMI Transactions on orders of ₹10,000 and aboveT&C, 
Bank OfferExtra ₹750 off on Citi-branded Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹1,000 off on Citi-branded Credit Card EMI Transactions on products priced ₹49,990 and aboveT&C, 
Bank OfferExtra ₹750 off on HSBC Bank Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹1000 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure,Min Txn Value: ₹25,000T&C, 
Bank OfferExtra ₹2000 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure,Min Txn Value: ₹50,000T&C, 
Bank OfferExtra ₹500 off on OneCard Credit Card Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹500 off on OneCard Credit Card Transactions on products priced ₹49,990 and aboveT&C, 
Bank OfferExtra ₹750 off on OneCard Credit Card EMI Transactions on products priced ₹30,000 and aboveT&C, 
Bank OfferExtra ₹750 off on OneCard Credit Card EMI Transactions on products priced ₹50,000 and aboveT&C, 
Partner OfferMake a purchase and enjoy a surprise cashback/ coupon that you can redeem later!Know More, 
EMI starting from ₹430/monthView Plans","6 GB RAM | 128 GB ROM, 
16.76 cm (6.6 inch) Display, 
50MP Rear Camera, 
6000 mAh Battery",14/04/2024 17:45:30
https://rukminim2.flixcart.com/image/416/416/xif0q/mobile/e/6/d/galaxy-m14-5g-sm-m146b-samsung-original-imagzvnkybtue5da.jpeg?q=70&crop=false,"SAMSUNG Galaxy M14 5G (Smoky Teal, 128 GB)  (4 GB RAM)","₹11,289","E, 
x, 
c, 
h, 
a, 
n, 
g, 
e, 
 , 
O, 
f, 
f, 
e, 
r, 
 , 
n, 
o, 
t, 
 , 
a, 
v, 
a, 
i, 
l, 
a, 
b, 
l, 
e","Bank Offer5% Cashback on Flipkart Axis Bank CardT&C, 
Bank Offer10% off on Citi-branded Credit Card EMI Transactions, up to ₹1,500 on orders of ₹5,000 and aboveT&C, 
Bank OfferFlat ₹1,250 off on HDFC Bank Credit Card EMI Txns on 6 and 9 months tenure, Min. Txn Value: ₹15,000T&C, 
Special PriceGet extra ₹1300 off (price inclusive of cashback/coupon)T&C, 
Buy for 2000 get ₹500 off your Next BuyT&C, 
Partner OfferSign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*Know More, 
Bank OfferFlat ₹1,500 off on HDFC Bank Credit Card EMI Txns on 12 months tenure, Min. Txn Value: ₹15,000T&C, 
Bank OfferFlat ₹1750 on HDFC Bank Credit Card EMI Txns on 24 months tenure, Min. Txn Value:₹15,000T&C, 
Bank Offer10% off on HSBC Bank Credit Card and EMI Transactions, up to ₹1,000 on orders of ₹5,000 and aboveT&C, 
Bank OfferFlat ₹2,500 off on HDFC Bank Credit Card EMI Txns on 6 and 9 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹3,500 off on HDFC Bank Credit Card EMI Txns on 12 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹5,000 off on HDFC Bank Credit Card EMI Txns on 24 months tenure, Min. Txn Value: ₹50,000T&C, 
Bank OfferFlat ₹500 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure, Min. Txn Value: ₹7,500T&C, 
Bank OfferFlat ₹500 off on OneCard Credit Card Transactions on orders of ₹10,000 and aboveT&C, 
Bank OfferFlat ₹750 off on OneCard Credit Card EMI Transactions on orders of ₹10,000 and aboveT&C, 
Bank OfferExtra ₹750 off on Citi-branded Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹1,000 off on Citi-branded Credit Card EMI Transactions on products priced ₹49,990 and aboveT&C, 
Bank OfferExtra ₹750 off on HSBC Bank Credit Card EMI Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹1000 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure,Min Txn Value: ₹25,000T&C, 
Bank OfferExtra ₹2000 off on HDFC Bank Debit Card EMI Txns on 6 months and above tenure,Min Txn Value: ₹50,000T&C, 
Bank OfferExtra ₹500 off on OneCard Credit Card Transactions on products priced ₹29,990 and aboveT&C, 
Bank OfferExtra ₹500 off on OneCard Credit Card Transactions on products priced ₹49,990 and aboveT&C, 
Bank OfferExtra ₹750 off on OneCard Credit Card EMI Transactions on products priced ₹30,000 and aboveT&C, 
Bank OfferExtra ₹750 off on OneCard Credit Card EMI Transactions on products priced ₹50,000 and aboveT&C, 
Partner OfferMake a purchase and enjoy a surprise cashback/ coupon that you can redeem later!Know More, 
EMI starting from ₹397/monthView Plans","4 GB RAM | 128 GB ROM, 
16.76 cm (6.6 inch) Display, 
50MP Rear Camera, 
6000 mAh Battery",14/04/2024 17:45:36
https://rukminim2.flixcart.com/image/416/416/mobile/v/p/p/samsung-guru-fm-plus-sm-b110e-d-sm-b110e-d-original-imaea9fqzyqdwm3r.jpeg?q=70&crop=false,SAMSUNG Guru FM Plus SM-B110E/D  (Dark Blue),"₹1,662","E, 
x, 
c, 
h, 
a, 
n, 
g, 
e, 
 , 
O, 
f, 
f, 
e, 
r, 
 , 
n, 
o, 
t, 
 , 
a, 
v, 
a, 
i, 
l, 
a, 
b, 
l, 
e","Bank Offer5% Cashback on Flipkart Axis Bank CardT&C, 
Buy for 2000 get ₹500 off your Next BuyT&C, 
Partner OfferSign-up for Flipkart Pay Later & get free Times Prime Benefits worth ₹20,000*Know More, 
Partner OfferMake a purchase and enjoy a surprise cashback/ coupon that you can redeem later!Know More","NA ROM, 
3.81 cm (1.5 inch) VGA Display, 
800 mAh Battery",14/04/2024 17:45:39
